"price","timestamp"
7000,"2023-03-12T04:00:00"
7000,"2023-03-12T05:00:00"
7000,"2023-03-12T11:00:00"
100,"2023-03-12T14:00:00"
12,"2023-03-13T07:00:00"
1000,"2023-03-13T10:00:00"
2000,"2023-03-14T09:00:00"
2000,"2023-03-14T12:00:00"
165,"2023-03-15T12:00:00"
217,"2023-03-15T13:00:00"
407,"2023-03-15T14:00:00"
780,"2023-03-15T15:00:00"
963,"2023-03-15T16:00:00"
1161,"2023-03-15T17:00:00"
1378,"2023-03-15T18:00:00"
1517,"2023-03-15T19:00:00"
1784,"2023-03-15T20:00:00"
1458,"2023-03-15T21:00:00"
1383,"2023-03-15T22:00:00"
1559,"2023-03-15T23:00:00"
1468,"2023-03-16T00:00:00"
1345,"2023-03-16T01:00:00"
1423,"2023-03-16T02:00:00"
1405,"2023-03-16T03:00:00"
1468,"2023-03-16T04:00:00"
1478,"2023-03-16T05:00:00"
1501,"2023-03-16T06:00:00"
1482,"2023-03-16T07:00:00"
1459,"2023-03-16T08:00:00"
1466,"2023-03-16T09:00:00"
1531,"2023-03-16T10:00:00"
1593,"2023-03-16T11:00:00"
1566,"2023-03-16T12:00:00"
1552,"2023-03-16T13:00:00"
1521,"2023-03-16T14:00:00"
1545,"2023-03-16T15:00:00"
1522,"2023-03-16T16:00:00"
1504,"2023-03-16T17:00:00"
1527,"2023-03-16T18:00:00"
1561,"2023-03-16T19:00:00"
1560,"2023-03-16T20:00:00"
1544,"2023-03-16T21:00:00"
1617,"2023-03-16T22:00:00"
1681,"2023-03-16T23:00:00"
1668,"2023-03-17T00:00:00"
1662,"2023-03-17T01:00:00"
1651,"2023-03-17T02:00:00"
1557,"2023-03-17T03:00:00"
1536,"2023-03-17T04:00:00"
1578,"2023-03-17T05:00:00"
1595,"2023-03-17T06:00:00"
1582,"2023-03-17T07:00:00"
1587,"2023-03-17T08:00:00"
1587,"2023-03-17T09:00:00"
1536,"2023-03-17T10:00:00"
1537,"2023-03-17T11:00:00"
